Channel,Impressions,Clicks,Cost,Conversions,Revenue
Paid Ads,18296,2839,304615,202,20177953
SEO,56293,1861,4906425,249,1870485
Email Marketing,35445,3614,5354224,63,7545900
SEO,18245,2075,4994287,165,18958292
Email Marketing,34124,2462,2592118,183,22589615
Affiliate,34899,976,5239743,210,1481883
Affiliate,48919,3912,764180,16,2168321
Affiliate,48225,3548,1099554,280,13796138
Email Marketing,40247,1412,3495049,185,20570921
SEO,34222,1560,166150,246,10507310
Affiliate,31211,2809,2302575,220,6654512
Organic,42220,2424,3282993,255,21036721
Influencer,31646,1833,304615,130,5918952
Email Marketing,43649,1705,2478837,221,21886904
Email Marketing,28049,2663,3533382,289,4764423
SEO,19069,3521,2647500,189,10762330
Email Marketing,37580,3617,3902429,43,14316653
Email Marketing,36843,2497,1291902,227,8681883
Affiliate,7849,3835,2590706,188,15809784
SEO,45158,2970,2590706,182,24448053
Affiliate,28289,1260,2534206,298,2019603
Influencer,49690,4954,5711920,155,19027956
Influencer,40257,342,2647500,130,18140619
Affiliate,14823,2690,3837973,238,9768511
Influencer,46975,1163,1625233,12,17080018
SEO,14540,4424,5239743,133,18162637
Paid Ads,21364,2695,2647500,268,21555600
Affiliate,9611,1019,381570,161,22772887
Organic,32663,105,1625233,9,1478836
Organic,56991,567,3455745,90,20500738
Email Marketing,43646,4270,3106316,179,15304511
Influencer,35977,103,3598472,294,19494397
Organic,34168,745,3913270,197,9068438
Email Marketing,54115,217,3902429,123,18833734
Paid Ads,30471,3028,5222930,222,12372752
SEO,27687,2651,1625233,118,3159083
SEO,5851,4389,4068222,149,21390856
SEO,23071,946,5012216,30,21777614
Organic,11833,2862,2534206,140,10125105
Paid Ads,16938,1241,4906425,236,14494132
Organic,40195,1910,3837973,80,22154924
Influencer,31144,823,4994287,293,10435869
Organic,9000,324,875435,5,8380317
Paid Ads,10052,4727,1903740,151,8781447
Paid Ads,40506,4308,304615,291,13924877
Influencer,33074,4754,564071,146,13427622
Paid Ads,59884,2148,3533382,57,4395958
Paid Ads,43155,4849,3902429,73,24353258
SEO,45770,4515,3290541,94,14189493
Influencer,37320,1673,764180,224,1765898
Social Media,43304,1928,3837973,196,16418424
Social Media,51247,2017,3902429,67,2620539
Paid Ads,8913,4334,4906425,77,18157628
Social Media,22450,2126,304615,165,6447148
Social Media,29107,3844,4481137,173,3731185
Paid Ads,25764,1001,381570,93,24596980
Social Media,48404,4885,3837973,180,23200314
Organic,25491,2139,2274606,273,18505553
Email Marketing,43494,109,938003,77,11554686
Influencer,8373,360,4906425,249,17762030
Email Marketing,17161,1773,2590706,81,10114742
Paid Ads,36996,2319,564071,163,20967799
SEO,32122,2160,304615,102,14135242
Influencer,39850,3813,3913270,106,2099908
Paid Ads,32350,1719,2274606,136,19441628
SEO,32472,420,4068222,106,5809792
Email Marketing,33761,1442,2592118,23,2853847
Paid Ads,30351,2476,2590706,86,11518754
Influencer,28132,2932,659723,283,3392478
Influencer,54049,2924,2478837,133,19261333
Affiliate,20305,2094,3106316,93,11331890
Organic,14817,3058,1291902,217,13951286
Social Media,16261,2138,1903740,147,6449852
SEO,5417,3590,659723,69,529725
Affiliate,46576,3777,5012216,80,15441550
Social Media,25358,1218,3290541,203,9684536
Social Media,8267,1704,2590706,147,14712223
Paid Ads,22209,4127,5012216,97,18165252
Social Media,29052,335,3598472,228,16913806
Organic,43513,2069,3455745,295,20248999
Influencer,31092,4529,938003,106,3162761
Affiliate,16338,2008,3495049,271,14908889
Social Media,5412,475,5222930,114,7024559
Paid Ads,12543,3630,764180,269,19790240
Organic,45355,2735,1099554,7,19675299
Email Marketing,38496,1670,3902429,89,23813511
Influencer,28548,2660,938003,286,13628927
Influencer,32384,3491,304615,121,21186655
Affiliate,49425,3065,938003,225,14226569
Influencer,43756,3743,1624102,158,6127745
Social Media,23888,3950,5012216,157,4411146
Paid Ads,40735,972,3495049,16,2207017
Influencer,52295,1352,2539855,137,1189556
Influencer,56938,1414,1291902,297,11745869
Email Marketing,53816,4920,3913270,232,24565754
Email Marketing,22506,2998,1664718,275,2753722
SEO,25463,177,5854777,47,2149729
Organic,22955,2721,938003,25,16915656
Social Media,42841,4327,3290541,111,1616271
Influencer,10104,700,2539855,121,11416876
Influencer,39911,1165,659723,128,3599555
Paid Ads,28190,2236,3533382,285,22961013
SEO,12357,2549,5012216,296,18958857
Organic,37479,2443,3282993,207,14150521
SEO,49811,1963,3495049,55,17793625
Affiliate,41208,1418,4906425,275,17943381
Organic,25150,4811,381570,281,20065579
Influencer,10644,3697,3996022,145,15731184
Influencer,48286,3862,1624102,279,14325997
Organic,52320,4770,4068222,294,21753537
Influencer,7914,2290,5354224,56,4210388
Social Media,26352,1092,2590706,31,3735192
Organic,51352,2812,3282993,161,2435090
SEO,49912,2292,3495049,243,4437270
Organic,19397,1348,1099554,160,7239013
Influencer,46555,3154,2135848,295,7589975
Social Media,51959,4698,5711920,140,9305586
Social Media,5728,4133,381570,148,18310532
Affiliate,55517,2097,2302575,110,5319075
SEO,58644,3787,5222930,162,11509646
Email Marketing,5698,2251,3282993,150,14665372
Email Marketing,44954,4118,2483366,6,12268963
Organic,52280,3210,3168893,81,14763315
Affiliate,18923,2070,2135848,136,15031095
Paid Ads,21779,297,3106316,94,22019513
Organic,12400,2726,3996022,267,4368452
Affiliate,29466,1302,3397291,112,8574037
SEO,41939,2135,875435,78,1812743
SEO,9360,577,5012216,43,14322356
SEO,40270,1354,764180,163,24697321
SEO,22101,1022,4481137,75,10815813
SEO,56934,519,3168893,245,12623053
Affiliate,37307,2304,3397291,40,17381411
Affiliate,59098,2697,5222930,88,7508443
Social Media,10486,1220,5012216,267,22553944
Email Marketing,13335,3168,166150,176,21378252
Influencer,26364,1050,1624102,177,17205808
SEO,42259,2436,2647500,51,10227094
Paid Ads,28576,2343,3533382,145,19442467
Influencer,36667,2745,3598472,122,10366460
Affiliate,16130,1957,938003,281,7803693
Paid Ads,26972,4712,2135848,218,20492066
Paid Ads,45419,1965,304615,224,10608631
Paid Ads,57788,3012,3913270,30,11558916
Social Media,6167,2953,3495049,13,8483439
Affiliate,32192,3328,1625233,275,8768541
Paid Ads,6062,3819,659723,14,10046263
SEO,23540,3328,1291902,125,20226497
Organic,29244,2471,1664718,129,24633277
Paid Ads,26545,2991,2483366,174,1794929
Social Media,26689,3856,5354224,76,3004594
Influencer,16174,4325,2302575,156,18520510
Affiliate,27925,194,3533382,212,20844891
Social Media,42497,2774,5222930,53,8211634
Paid Ads,14348,2055,304615,158,16297566
Affiliate,28714,893,3290541,297,2914802
Organic,43102,1934,2274606,72,17093301
Paid Ads,13924,2216,2483366,54,943031
Social Media,42098,4206,1903740,156,16553323
Email Marketing,29394,3425,764180,23,16163645
SEO,11801,3019,1702575,104,23721561
Influencer,42614,2697,4994287,64,20067589
Social Media,11731,3305,5239743,171,21193859
Affiliate,53136,4907,5222930,206,7561183
Paid Ads,28625,914,3996022,150,20564274
SEO,22337,445,3455745,168,12092111
Paid Ads,40307,2449,4994287,246,22787709
Affiliate,12056,462,1624102,73,790998
Paid Ads,16516,2543,3598472,179,5355920
Email Marketing,49261,2365,4481137,53,19105238
SEO,6542,2288,1702575,112,6867712
SEO,26677,3105,3598472,230,11937201
Affiliate,51732,3381,2302575,165,18687070
Influencer,55343,1084,0,123,8497043
Email Marketing,44081,1739,1702575,153,681360
Social Media,32569,927,2478837,154,19721242
Paid Ads,28322,2830,3106316,297,19792635
Organic,24065,3631,3455745,147,6032410
Paid Ads,22924,4551,875435,164,4638286
Paid Ads,27556,3035,2534206,15,15213851
Social Media,59693,3976,764180,142,11531669
Paid Ads,31962,226,4481137,82,8833100
Email Marketing,33295,3277,3996022,81,7393728
Email Marketing,18807,3156,1625233,258,20861413
SEO,47348,703,4481137,262,14951971
Affiliate,31432,3549,5354224,295,17589171
Influencer,22749,4246,764180,267,19404815
Organic,46459,3633,564071,89,5433594
Paid Ads,31256,3467,2539855,150,16197605
Paid Ads,45262,3468,1291902,46,17099117
Social Media,42080,3897,2534206,129,22112667
Affiliate,6324,1892,2274606,171,4882794
Email Marketing,30731,2961,5222930,245,24600710
Organic,40909,3576,1099554,284,7199144
SEO,28803,3517,564071,192,21975929
Email Marketing,24870,1745,5711920,23,8367791
Affiliate,39578,1305,2478837,72,21067544
Influencer,11588,3130,304615,222,13599507
SEO,57075,2972,166150,106,12785500
Influencer,43069,3172,304615,46,13746601
Social Media,31790,1954,764180,292,5789730
Social Media,58338,4121,4994287,171,12350700
Paid Ads,30289,4762,3598472,113,21714826
Influencer,33178,2808,1625233,40,3739536
Affiliate,33710,3602,5012216,236,15841821
Organic,20485,1432,3533382,233,2826133
SEO,49482,301,3168893,168,10628069
Email Marketing,25652,3607,2274606,77,11038832
Affiliate,9748,4312,764180,140,8448140
Affiliate,26233,674,764180,74,6220626
Social Media,14435,636,564071,200,14154772
Influencer,8709,1725,5222930,273,6721714
Paid Ads,35355,2222,3397291,53,6874825
Paid Ads,18116,485,2534206,134,5505858
SEO,30470,3381,875435,9,24305938
Social Media,47344,574,5239743,31,8721252
Affiliate,47918,517,1702575,164,3915871
Organic,57224,3700,564071,153,19155187
Social Media,44298,1054,1624102,268,24091828
SEO,47956,4958,3902429,234,22240617
SEO,19683,1305,3598472,204,12929667
Social Media,5504,4859,4181082,54,3366757
SEO,38982,4220,3290541,71,11136547
Social Media,39299,2090,764180,62,13243293
Email Marketing,33016,4905,2234793,263,6413318
Social Media,28960,3672,2534206,134,24018502
Influencer,38591,4480,5854777,219,18855185
Social Media,22312,4258,1903740,176,13987010
SEO,42797,4857,5239743,262,13151832
Influencer,51196,2813,1291902,106,11635784
SEO,54285,2303,1664718,213,11916757
Paid Ads,7105,3220,2590706,295,4151387
Paid Ads,41395,1066,3902429,290,11416027
Influencer,50740,3532,0,120,2211672
Email Marketing,27700,788,4068222,268,6405950
Paid Ads,39620,4343,2274606,154,3712883
Social Media,42678,3801,304615,40,3528631
SEO,25559,441,1625233,291,14718200
Paid Ads,32509,1824,2647500,212,15487811
Paid Ads,32860,4522,4906425,110,24509428
Email Marketing,16003,1892,3913270,162,6923959
Influencer,26732,1859,4481137,125,10667147
Influencer,30826,3312,3106316,59,24261513
Affiliate,35354,1089,2274606,16,4524733
Email Marketing,18843,2362,4181082,149,22136437
Social Media,49472,2582,5854777,140,17221115
Influencer,53529,1051,1624102,7,10302630
SEO,11190,822,2592118,148,21078466
Email Marketing,22640,3489,166150,34,9840854
Paid Ads,57528,2179,4906425,241,519675
SEO,43413,2817,3598472,283,17764015
SEO,57638,2432,764180,119,7310805
Paid Ads,57736,3476,2592118,108,19515273
Email Marketing,47356,4624,2274606,122,4964344
Paid Ads,49597,1600,1624102,9,14557676
Affiliate,45821,385,166150,252,11297637
SEO,8330,3595,3455745,125,12810059
Organic,24087,2165,5354224,290,1066088
Organic,46430,868,3902429,153,14227532
Social Media,29504,3157,764180,88,7058947
Influencer,12114,4389,4181082,235,10651607
Paid Ads,18323,2261,3913270,292,1158003
Paid Ads,39121,3393,3902429,165,11288689
Social Media,15975,1046,5239743,276,1305113
Social Media,16023,3435,166150,42,9822004
Social Media,26447,4250,2274606,230,5528035
SEO,29933,4995,4906425,146,12051409
Affiliate,28959,4973,2483366,296,21311680
Paid Ads,5667,1581,875435,155,15933222
SEO,58620,2001,5354224,118,2592101
Social Media,34703,3551,3598472,241,6495134
Paid Ads,14337,4164,4181082,70,10847918
SEO,51427,154,5239743,262,6708714
Affiliate,41487,1923,3996022,253,11052467
SEO,24129,3562,3837973,184,13334263
Affiliate,45251,3179,4068222,194,24039342
Social Media,36921,932,659723,158,12624052
Affiliate,38307,4508,1702575,200,23619273
Paid Ads,32355,2906,3397291,266,20818699
Social Media,42732,2590,3913270,147,10572959
Paid Ads,9835,427,2592118,105,18789976
Organic,25159,3410,564071,248,10351044
Email Marketing,43810,3400,5012216,16,20834905
Affiliate,52605,3775,3598472,243,13334836
Email Marketing,45080,3154,2592118,53,19140452
Email Marketing,43088,2243,2234793,46,12462073
Affiliate,18216,1411,3106316,170,16351428
Social Media,40547,3291,2483366,86,12655863
Organic,36471,2638,3106316,295,10488400
Paid Ads,22308,4083,166150,162,13363378
SEO,32532,4647,2534206,220,17728146
Paid Ads,39349,264,2135848,162,14481528
SEO,57476,4377,4068222,138,7902324
Paid Ads,50445,922,5222930,71,14793436
Affiliate,10713,1043,564071,11,20775624
Organic,54407,4525,3495049,18,12565969
SEO,9804,874,4906425,77,5903252
Influencer,55990,2298,2539855,167,17368222
Social Media,15136,3256,4068222,70,4651785
Paid Ads,5009,4342,3533382,134,12967192
Paid Ads,24255,3795,2592118,210,17965941
SEO,28793,3552,564071,280,17483703
Social Media,34548,1014,1702575,260,23666524
Social Media,42892,1408,1099554,270,4137820
Affiliate,6015,4277,3913270,29,3784321
Influencer,32712,613,3533382,285,24295739
Affiliate,39961,2020,3598472,257,17956057
Affiliate,13415,3694,4481137,293,15460682
Affiliate,51318,4941,166150,168,22697928
Affiliate,52280,1509,5222930,99,11827910
Affiliate,28833,4902,2274606,274,20729717
Organic,9158,4666,5854777,114,8933840
Social Media,25309,3290,1702575,242,19723056
Affiliate,11970,4591,3290541,29,15640449
Social Media,11938,1655,5239743,145,15963365
Social Media,26168,904,2539855,121,22729189
Email Marketing,51540,1379,2302575,29,14109569
Organic,25384,3677,938003,83,1879904
Affiliate,23017,3001,5222930,72,7853172
Paid Ads,15344,1487,3455745,177,1937188
SEO,45034,4788,2539855,16,2156321
Influencer,13702,2861,3397291,292,1038645
Paid Ads,5384,2779,2539855,132,22631768
Organic,5404,2206,2539855,100,21802337
SEO,45943,4323,3533382,96,16874601
Organic,52926,4931,5012216,145,6332801
Social Media,34189,2868,2483366,35,11718063
SEO,17763,4053,2539855,24,24189071
Social Media,23384,3286,5012216,150,11391900
Paid Ads,37606,3380,2478837,164,7050091
Paid Ads,14860,2673,1702575,47,20644039
SEO,43757,4716,3168893,258,11499077
SEO,20106,2699,3397291,134,7870683
Affiliate,55612,4133,4068222,64,19444570
Organic,28574,336,3168893,155,6939522
Affiliate,28524,1404,2478837,291,22325215
Organic,8636,3530,166150,9,21662226
Affiliate,15916,1401,3455745,270,22095966
Social Media,9809,2641,2274606,134,22268752
SEO,37201,2151,304615,271,16992575
Paid Ads,58330,541,381570,182,3971750
Organic,18456,2176,4181082,257,21752372
Organic,53212,3280,2647500,60,3265331
Paid Ads,43765,2757,938003,87,9476766
Affiliate,39816,3898,564071,103,3130723
Organic,50106,904,3902429,153,18142355
Influencer,58932,174,1291902,160,16652789
Social Media,22100,2275,3837973,194,10467246
SEO,26949,4024,1291902,267,8043159
Paid Ads,9544,2189,3837973,84,5884935
SEO,42744,140,3168893,256,12655092
Influencer,50543,2181,2135848,101,15014254
Organic,47783,4783,5222930,264,20178933
Organic,31657,1722,3533382,264,23563155
Influencer,41187,441,3455745,107,15063931
Paid Ads,52198,4152,4481137,44,24093741
Social Media,12239,2174,2592118,277,19488954
Email Marketing,19489,745,2592118,105,6192796
Paid Ads,54401,4926,3455745,225,24099783
Email Marketing,48125,4363,3290541,128,3139929
Influencer,54922,709,5239743,235,3633211
Affiliate,33538,554,2534206,182,14644368
Email Marketing,37049,3053,5354224,67,16519902
Social Media,42131,1808,564071,120,24717665
Affiliate,47944,3572,5239743,195,12116152
Email Marketing,55229,3069,5854777,66,2226199
Influencer,13427,3128,4994287,260,13358621
Affiliate,46348,4897,1291902,11,13256935
Influencer,29285,2781,1702575,159,5571915
Email Marketing,42626,3729,2478837,96,943945
Influencer,47808,4325,3902429,18,24659219
Social Media,27928,3167,3533382,233,6810114
Email Marketing,58871,1486,381570,90,17298469
Email Marketing,24198,3876,875435,137,20880326
Email Marketing,24758,2966,564071,187,2776787
Paid Ads,20254,4888,3106316,66,8190840
Paid Ads,49238,3463,4481137,223,23778769
Paid Ads,6252,4989,5711920,250,9838770
Social Media,44764,4224,4481137,234,15842276
Affiliate,17173,248,5012216,83,15700562
Influencer,42441,3950,4906425,153,1774634
Organic,31698,2158,3495049,142,3255063
Email Marketing,58682,1236,1099554,69,1728807
Influencer,20781,286,1664718,17,22440731
Email Marketing,18051,2954,166150,217,16786171
Social Media,44649,1350,3996022,246,13402884
Email Marketing,11949,1433,3495049,217,8101748
Paid Ads,47289,4293,2592118,185,4963158
Organic,13017,4250,764180,177,9303208
SEO,11941,2811,5222930,164,23458638
Email Marketing,30934,4953,1099554,168,2769070
Influencer,28386,4601,4181082,192,4913359
Paid Ads,15209,1885,3106316,195,8140167
SEO,22715,850,1291902,260,20108785
Organic,33920,1862,3106316,187,7822153
SEO,58413,4020,1664718,121,10337371
Paid Ads,36703,4560,1702575,286,3019507
Affiliate,47318,581,1903740,200,13954789
Affiliate,59267,253,5222930,38,18533931
SEO,9637,1624,3533382,56,8968865
Social Media,9854,2220,3902429,116,18803750
Influencer,57329,2443,3290541,256,18101359
Influencer,48088,1340,2302575,86,24623778
SEO,56332,160,1099554,236,16501900
Email Marketing,42660,1038,1625233,231,15390609
Email Marketing,44811,1739,764180,237,21080202
Influencer,54289,4220,2274606,225,871616
Influencer,24856,4326,2539855,46,19237371
Affiliate,26833,3669,5354224,25,9663766
Social Media,56984,1352,4481137,46,19987743
Paid Ads,24963,4303,2647500,117,19046183
Email Marketing,41932,271,2483366,109,14951300
Influencer,32169,1558,2234793,196,779215
Affiliate,12941,3649,2135848,21,16248714
Organic,19388,4297,3913270,124,3343236
Affiliate,10569,2422,5239743,133,12626467
Email Marketing,9300,1736,1903740,134,7879933
Email Marketing,44037,3215,4994287,64,23431189
Affiliate,41586,4190,3290541,52,23312434
Paid Ads,17015,3104,4181082,33,2460584
SEO,50002,429,5239743,101,23500970
Email Marketing,56058,3740,3913270,14,22862925
Affiliate,11254,3994,3455745,246,17855904
